"SINNO ID","use_sectors","Innovation name in Swedish","Description in Swedish","Additional Info"
7420001,"02","Bräcke högläggare","Högläggaren ansluts till Bräckeaggregatet (en fläckmarkberedare där två rivhjul flår av hummustäcket). Bakom varje rivhjul på Bräckeaggregatet har man kopplat till en skopa, som i den uppkomna markberedningsfläcken för ihop mineraljord till en hög. Högläggaren arbetar synkront med rivhjulet på så sätt att skopan går ned i fläckens bakre del, tar upp mineraljord och för ihop den till en hög i fläckens framkant. ","Automatiserar arbete."
7421001,"02","ÖSA 655","Markberedningsaggregat som ska anslutas till ÖSA:s skotare 260. Denna skotare är utrustad med en hydrostatisk växellåda. Genom att skotaren automatiskt avpassar kraftuttaget vid varierande belastning, ökas möjligheterna att hålla en jämn hastighet vid gång i terräng. Aggregatet består av två hydrauliskt arbetande pendelarmar, som är fästade i dragarens bakända. Varje pendelarm är försett med tre stycken ledade markberedningsbillar, som var och en separat ger efter för överbelastningar utan att de två övriga påverkas. 655 är ett fläckmarkberedningsaggregat. Föraren kan från förarhytten reglera fläcklängd, avstånd mellan fläckarna samt belastning på markberedningsorganen. ","Automatiserar arbete."
7426001,"02","","Bärgningsdrag av härdad polyester klätt med polyesterväv och med läderklädda dragöglor och en skjutbar läderskoning på mitten. Den senare för att kunna koppla V-drag med fördubblad dragkraft. ","Drar bättre, skyddar bättre.Utvecklad på uppdrag."
7428001,"02","","Mikrodatorstyrt apteringssystem för användning i de egna processorerna och skördarna. Genom mikrodatorn kommer 19 olika funktioner att styras, bl a matning av trädet fram och back, automatisk backning vid fastkörning, kapning och toppklippning., sortering av masasved repspektive timmer samt räkning av antalet timmer- och massavedsbitar samt antal bearbetade träd. Föraren får också via mikrodatorn information om var kapsvärdet och toppklippen befinner sig, sorteringsbordets läge samt om sotkcens minidiameter underskrids. ","Utvecklat för att sitta i de egna maskinerna."
7429001,"02","","Barkningsmaskin. Maskinen består av två tråg som rymmer vardera 17 kubikmeter. När ett av trågen fylls börjar fyra skruvar att rotera. De är gängade åt var sitt håll och i och med att de snurrar går hela massan runt. ","Sparar arbetskraft och tid."
7435001,"02","Doroplanter","Hydraulisk, elektronisk planteringsmaskin för skogsbruk. Planteringsmaskinen bogseras av en vanlig skogstraktor (skotare eller lunnare). För markberedning har man framför varje planteringsorgan byggt in ett markberedningsaggregat. Planteringsorganen är upphängda på glidskenor, varför de vid plantering kan fixeras i marken medan aggregatet i övrigt rör sig frammåt. Ett planteringsspett gör hål i markberedningsfläcken och plantan leds via ett rör till planteringsspettet. När hålet är öppet delas spettet i två delar och plantan åker ner med hjälp av tryckluft. Därefter packas jorden runt plantan och planteringsspettet påbörjar ny plantering. Maskinen är den första i världen som kontinuerligt planterar under gång. ","Planterar kontinuerligt under gång. "
7437001,"02","","Hjälpmedel för påläggning av kätting på timmerbuntar. Tidigare kastade man kättingarna runt lassen och det är den metod som i de flesta fall tillämpas på de ställen där man buntar timmer som man tar från en landsortering. Att kasta kätting är ett tungt arbete. Med den nya metoden fästes kättingarna med ett enkelt handgrepp i griporgan som sitter på fällbara bommar. När dessa sedan körts till sitt övre läge är det klart för timmertrucken att köra in mot de hängande kättingarna som faller ned runt bunten när griporganen utlöses med en knapptryckning. Sedan återstår endast att koppla kättinglåsen. ","Arbetsskador vid manuell hantering av kättingar."
7440001,"012","","Trämelass. Trämelassen består av de mest lättlösliga substanserna i vedråvaran för skivframställning, vilka går i lösning i tillverkningsprocessen och inblandas i processvattnet. Sedan mitten av 1960-talet återvinnes substanserna, koncentreras och torkas samt ges en viss efterbehandling som gör dem lämpliga som bl a kreatursfoder. Produkten är alltså dels rent kreatursfoder och dels en ingående ingredients i kreatursfoder.",""
7441001,"02","","Maskinsystem för småskalig avverkning av energiskog (ESO).","Utvecklat på uppdrag"
7446001,"02","","Maskinsystem för storskalig avverkning av energiskog (ESO) i företrädesvis våtmark. I systemet ingår både skördare och buntare. ","Utvecklat på uppdrag"
7447001,"02","Skogsjan","Gripprocessor. ",""
7448001,"02","Aktiv Skotten 758","Skogsmaskin med ovan nämnda gripprocessor. ",""
7452001,"02","","Markberedare med grävarm som effektivt gör rent beredningsytan från hinder. Innovationen är egentligen monteringen av en grävarm på en redan existerande beredare. En liten skopa sitter på en utskjutbar arm. Den har en räckvidd på åtta meter i en halvcirkel. Markberedaren gör sig bäst i de ritkigt oländiga terrängerna. ","Röjer oländig terräng."
7453001,"02","Skogis","Gallringsskotare. Skotaren väger endast 500 kg, är banddriven och hydrauliskt midjestyrd, vilket gör den smidig och framkomlig även i tät skog. Skotaren påminner väldigt mycket om en skoter till utformningen. ","Lätt."
7456001,"02012","Autopos","Datorstyrd kantautomat där brädämnena mäts uppifrån med modulerat infrarött ljus, på en längsgående transportör. På grundval av mätdata och data i kundtabellerna väljs bästa breddinställning i efterföljande kantverk. Kantautomaten kompletterar det tidigare kantautomatprogrammet ""Edgar"" och ""opti Edgar"". ","Effektivitet (i tidig gallring); lönsamhet för användaren; enkelhet"
7466001,"20","DOS-300","Kapsåg som med sin kombination av snabbhet och precision minskar virkesåtgången i företagets träindustri  med ca 7 procent. Kapen är styrd av fem datorer. Maskinen räknar snabbt och med stor precision ut exakt hur bra eller dålig en sändning med virke är. Den mäter, sorterar, kapar och transporterar virket. ","Utvecklat för egna behov, sedemera såld."
7470001,"20","Skogstruck JH 125","Skogstruck. Prisbilligt alternativ för att transportera virke i gallringsbestånd, samt älgar under älgjakten och övriga sysslori skogsbruket där det kan vara behov av mindre och billigare alternativ istället för att låsa kapital i dyra maskiner. ",""
7471001,"20","","Motorredskap för tyngre terrängtransporter. Ursprungligen konstruerades redskapet för transport av skjutna älgar. Det har dock visat sig att Älgtrac är ett nyttigt redskap i andra sammanhang. Redskapet kan köras av en person och klarar olika slags terrång. Lastkapaciteten är ca 500 kg, beroende på lastbärare. Älgtrac består av en främre styr- och motorenhet som är försedd med hjul för sturningen. Drivningen sker i den bakre delen via två drivband liknande det som finns på snöskotrar. Hjulen är boggimonterade på samma axel. ",""
7472001,"02","","Plaststift för virkesmärkning.Plaststiften skjuts ut med en för ändamålet specialtillverkad häftpistol. Vid användning av plaststift slipper man det inproduktiva kontroll- och rensningsarbetet samt ökar effektiviteten inom träförädlingsindustrin. ","Ställer inte till det i sågverket som metall."
7476001,"02","FS15","Maskin som gör det ekonomiskt att bl a tillvarata skogsbränsle vid slutavverkning. Den maskin som konstruerats på SIKOB innebär att skogsavverningen görs enligt helträdsmetoden istället för som nu oftast med sortimentsmetoden. Maskintypen kallas fällare/skotare. Den transporterar hela träd, kapade vid roten, ut ur skogen. Det enda som blir kvar i skogen är stubben. Fällare/skotaren arbetar enligt följande: Med ett fällhuvud grips, kapas och lastas träden. När lasset är fullt, kör den ut lasset ur skogen och tippar av det på avlägg vid bilvägen. Träden bärs av maskinen i motsats till lunnare, som släpar träder efter sig mot marken. Det finns en rad fördelar med att bära träden. ","Gör det lönsamt att ta tillvara skogsbränsle och gör avverkningen billigare."
7477001,"02","SKOGIS (mjukvara)","System för datainsamling, bearbetning och uppföljning av hantering av skogsråvaran. ",""
7479001,"02","Tugger","Terränggående motorcykel som kan transporteras på sin egen släpvagn.",""
7480001,"01","Växlarvagnen","Transportsystem som medger växling av lastbärare. På ett och samma hjulställ kan anbringas spannmålsflak, gödseltunna, gödselspridare, skogsekipage, spånbinge etc. Själva flakväxlingen är enkel och går snabbt. Till växlarvagnen kan användas en vanlig standardtraktor med dubbelverkande hydrauluttag med vars hjälp man växlar lastbärare och tippar. Grundidén är således att skaffa lastbärare som sedan kan växlas allteftersom man behöver för olika körningar. ","Gör det enkelt att växla lastbärare; kostnadsbesparande; snabb flakväxling"
7484001,"02","Lineroller","Anordning för rambarkning av träd. Metoden går ut på att två plasttrattar sätts på motorsågen. De två trattarna styr sedan när kedjan slitsar upp barken. OM man inte randbarkar ett träd går man miste om dyrbar energi, eftersom torkningen då börjar ute och går inåt till kärnan. Med Lineroller eliminerar man också risken för farliga kast. ","Rationaliserar rambarkning av träd."
7487001,"02","Woodpicker","Spik av limmad björkfaner. Spikarna är tolv millimeter långa och har en diameter på 2,7 mm. Finessen med träspiken är att den aldrig behövs tas bort från virket. ","Förorenar inte virket."
