SINNO ID,use_sectors,Innovation name in Swedish,Description in Swedish,Additional Info,innovation_type,bioeconomy_vision,notes
7278001,1131,Beri-Tainer,"Hanteringssystem för distributionen av jordgubbar. Systemet består av en enliterskartog, en korg som rymmer 12 enliterskartonger och en rullvagn som rymmer 10 kartonger. Ute på fältet ställs de tomma enliterskartongerna i korgarna som placeras på plockningsvagnen. När kartongerna är fllda med jordgubbar körs plockningsvagnen till uppsamlingsplatsen där korgarna hakas på rullvagnarna.",,9,2,not forest
7318001,20400,VC 200,Tryckluftsdriven vakuumtransportör,,0,0,check article
7361001,2029,ABC-björnaren,"Hydraulisk godsspännare att användas i första hand på lastbilar för att hålla timmer- och virkeslass. Ur trafiksäkerhetssynpunkt är den nya godsspännaren en betydelsefeul detalj. Det har hänt en hel del olyckor genom att bindkättingen lossnat eller släppt greppet allt eftersom timmerlasset ""skakats ihop"". Anordningen består av en ackumulator som kontinuerligt matar ett antal hydraulcylindrar, en för varje bindställe. Som energikälla används den på fordonet befintliga hydraulanläggningen för kranaggregatet. Skulle fordonet sakna en sådan monteras en liten pumpenhet komplett med tank på växellådans kraftuttag. ",Spänner kontinuerligt allt eftersom lasten skakas ihop.,501,9,not forest check article
7366001,20,Origa-cylindern,Tryckcylinder med längsgående slits. Tekniken öppnar vägen för enklare konstruktioner och verkligt långa slaglängder. ,Kan ta upp stora tvärkrafter,104,9,Check article
7368001,2,Tvigg,Enmansbetjänad kvistare som tar sig fram i skogen och på vägen utan att göra allt för mycket skada. Maskinen är lätt och behöver inte så mycket svängrum. ,Skadar inte skogen genom att den är så lätt och smal.,"103, 204",3,Check article
7369001,20,,"System för intern transport och hantering av olika produkter. Det nya med innovationen är, förutom att transporterna kan gå horisontellt, vertikalt eller i olika lutande banor, antingen att de är raka, krökta eler vridna, att det inte är transportörern som flyttar sig utan det gods den skall transportera. Förflyttningen sker med en stationär rotation i ett antal axlar med tvärmonterade tänder. Den speciella vinkeln, 90 grader, bibehålles hela tiden och gör att tänderna vid axelroationen bildar ett slags hålrum, i vilket edet transporterade godset befinner sig. ",,0,0,Check article
7371001,2029,Typ 205 A/B,"Surrningssystem vilket är avsett att ersätta gamla surrningsmetoder som rep och kätting. Fördelarna med detta system är att det går betydligt snabbare att surra, terylenebandet skadar inte godset, det behöver inte efterspännas. ","Skadar inte godset, behöver inte efterspännas.",204,0,Check article
7374001,2,850,Skotare. ,,0,0,Check article
7375001,2,Tretorn Lumber,Specialstövel för skogsarbete.,ArbetsskadorStålhätta,501,0,Check article
7376001,2,SCA-metod,Våg för lastbilar. ,,0,0,Check article
7377001,20,Minivib,Hårdmetallbestyckad cirkelsågklinga. Genom den nya konstruktionsprincipen har man lyckats sänka klingans bullernivå till värden som ligger väsentligt under vanliga klingors. Konstruktionen ger den en vibrationsfriare och tystare gång. ,Går tystare och med mindre vibrationer.,0,0,Check article
7378001,2029,KG-spännaren,Spännbandsanordning för fästning av gods på vagn. ,Skonar lasten,"204, 106",0,Check article
7380001,2,ABC-huggaren,Skogsmaskin.,,0,0,Check article
7381001,2,,Bränslehugg för traktormontage. Maskinen kommer att bli midjestyrd och försedd med åttahjulsdrift med separata hydraulmotorer för varje hjul. Därefterföljer huggenheten som är en stor trumhugg och direkt efter på samma chassie finns en 30 kubikmeters flisbehållare. ,,0,2,Check article
7383001,2,880,"Fällare. Med den nya maskinen har möjligheter skapats att helt mekanisera avverkningsarbetet. Fällaren passar i de flesta fall även in i Logma-systemet. Fällaren är i första hand avsedd för slutavverkningsbestånd. Den avskiljer träden med klippande eller sågande fälldon och lyfter dem sedan stående och lägger i högar. Maskinen är således en fällare-buntläggare. Maskinen består av ett tvåaxligt, ramstyrt chassi med pendelaxel under den motorbärande fordonsdelen. Hjuldimensionen är lika på samtliga hjul. Chassit är i princip uppbyggt på samma sätt som på en lunnare. ",,0,2,good example of biovision 2
7384001,2,ÖSA-systemet,"Maskinprogram för helmekaniserad skogsavverkning. I systemet ingår fällnngsmaskinen ÖSA 670; den har kapacitet på över 150 träd/timmen vid kontinuerlig körning. Kedjesågen som används har en patentskyddad upphängningsanordning som helt eliminerar fällsnittskador. Efter fällningen tar processorn över. Processorn har beteckningen ÖSA 705. Tillsammans med skotaren ÖSA 260 uppnås fördelar såsom lägre bränsleförbrukning, minskad service och underhåll, färre komponenter, minskad reservdelshållning. ","Lägre bränsleförbrukning, minskad service och underhåll, färre komponenter, minskad reservdelshållning.","103, 204, 112, 203, 104, 106",2,"set of innovations, duplicates?"
7386001,20101,,"Emballeringsmaskin för virke. Maskinen sköter emballeringen helt automatiskt. Maskinen är försedd med en motor för avrullning av emballagematerialet, avskärning och funktioner för erforderlig vikning av emballagematerialet. Maskinen ersätter den tidigare manuella täckningen av virke för skydd mot väta. Maskinen är uppbyggd av en rad moduler. ",Automatiserar tidigare manuellt arbete.,601,"0, 2",
7387001,2,Kiruna Trädplockare,"Trädplockare. Kraftig maskin som plockar upp hela trädet med rötter och allt, ruskar vidhäftad jord, hugger bort rötter samt lägger hela trädet i önskat läge på lämplig plats. ",Utvinner mer virke vid avverkningen.,"103, 204, 112",2,how to deal with increased harvest yield
7392001,2029,THV-timmervågen,Timmervåg. ,,9,0,Check article
7393001,2,RK 66 Snorre,"Liten skotare. Snorre väger 6 ton och lastar lika mycket. Den låga vikten och marktrycket minimerar skaderiskerna på underlaget. Marbrott, rot- och humusskador har varit huvudproblem som konstruktionen vill lösa. ",,207,"2,3,0",
7394001,2,,"Konsåddpistol. Överst på ett ca 80 cm långt rör sitter ett plasthandtag och en liten behållare frö. När man trycker ned handtaget faller 5-6 frön mot marken. På röret sitter 100 koner och vid varje ""skott"" faller en kon till marken. Det betyder i klartext att fröna får egna drivhus. Konen skyddar fröna från skadedjur. Konerna har ett litet hål i toppen och genom detta kan plantan växa upp. Efter ca två år kommer konen att spricka av den växande plantan. ",,103,0,
7396001,2,,"Motorsåg med automatbroms. Utsätts sågen för kast påverkas bromsmekanismen automatiskt, alltså utan att huggarens arm behöver träffa skyddsbågen.",SäkerhetsproblemÖkad säkerhet,501,0,
7397001,20101,,"Ny metod att producera flis av rundvirke, stubbar och rotbenkvist och avfallsvirke. Den nya typen av flismaskin skiljer sig radikalt i konstruktionen från konventionella flismaskiner. Den nya metoden som företaget utarbetat består av en roterande skiva av två kraftiga plåtar som sammanfogats i centrum och i ett antal koniska flisgenomgångar. På skivan finns ett efter vis system placerade lika stort antal skärhållare, med lösa, lätta, slipbara skär, som antalet flisgenomgångar på skivan. Tekniken ger ett jämt och konstant ingrepp i det material som skall upparbetas. Därvid erhåller en kontinuerlig matning av materialet med lägre ljudnivåer som följd. VVidare erhålls bestämd längd, bredd och tjocklek på flisen samt ett minimum av stick- och spånbildning. Flisen behöver inte sållas eller efterbearbetas. ","Högre kvalitet på flisen, bättre lönsamhet, snabbare etc.","213,204,103",0,
7398001,2,,Markberedningsaggregat. I utvecklingsarbetet har man försökt få fram ett aggregat som kan ge största möjliga säkerhet att erhålla en markberedningsruta av godtagbar storlek trots att det kan finnas hinder i vägen. Samtidigt med avlägsnandet av vegetationen samlar aggregatet ihop mineraljord i rutan så att en gynnsam växtmiljö för plantan kan erhållas. ,Röjer undan hinder effektivt.,"207, 0","2,3,0",Check article
7399001,2,,Planteringsmaskin som skall kunna både markbereda och sätta en planta i markberedningsfläcken.,Flerfunktionalitet. Sparar arbetskraft. ,9,"2,3,0",Check article
7400001,2,,Ny typ av skyddsanordning för motorsågar. Innovationen innebär att kraften i kaströrelsen avsevärt minskas och huggaren därigenom får betydligt lättare att behålla kontroller över sågen vid eventuella kast. Detta är första gången ett utvecklingsarbete mellan svenska motorsågstillverkare etableras. ,Risk för arbetsskadorBättre skydd,501,0,Check article
7401001,20101,,"Kantskydd för virkespaket. Skyddet består av två träfiberskivor som sammanbundits genom att armerad polyetenbelagt kraftpapper limmats fast på den ena sidan. Kantskydden förhindrar att stårbland, tråd eller plastband tränger in i emballage och varor. Materialet gger ett fullgott skydd för väta och fukt och rostar ej vilket är viktigt vid skydd av hyvlat virke. ",,"112,103","2,3",Check article
7402001,20301,,Liftanordning för stora byggelement; här tak. ,,9,9,Check article
7406001,20101,Brädaren,"Klyvnadsåg för torrt virke. Sågen har hydraulisk bladspänning, ny bladstyrning, snedställbart fritt upphängt land och enklare måttinställning än råbandsågarna. ",Noggrannare,602,"2,0",Check article
7409001,2,,"Stubbuuptagare. Stubben delas först varefter delarna tas upp. Metoden ger bl a följande fördelar; kraftåtgången blir bara en bråkdel av vad som krävs vid upptagning av hela stubbar. Fastvuxna stenar lossnar. Föroreningar ksrapas los från stubben. Humustäcket följer inte med stubben upp. Klena rottrådar slits av. Stubben klyves längs fibrerna, rena snitt ger små förluster. ",Gör mindre åverkan på skogen.,"103,207,204","2, 3",Check article
7410001,2,,Fälldon; också kallat pendelsåg. Sågen är utformad med en sågdel som har formen av en sfärisk kalott. Denna är upphängd i pendelarmar lagrade på en radie som är lika med kalottens radie. Vid sågning pendlas sågen in mot trädet. För att få sågen så liten som möjligt har den byggts upp med en fast centrumdel med formen av en sfärisk kalott. På kalottens periferi har en sågring lagrats. Sågringen har sågtänder på ytterkanten och kuggar för dess drivning på innerkanten. ,,9,"2,0,9",Check article
7411001,2,,"Gallringsskördare. Arbetscykeln börjar med att kranen styrs mot ett gallringsträd, varefter fällhuvudet klipper av trädet och tar in det stående samt lägger det framför sig. Därefter bearbetas trädet samtidigt som nästa träd hämtas in. ",Flerfunktionalitet,0,2,"Check article, clearly biovision 2"
