sinno_id,bioeconomy_vision,year
7324001,Biotechnology Vision,1994
7358001,Not Bioeconomy,2005
7361001,Not Bioeconomy,1970
7362001,Not Bioeconomy,1970
7363001,Not Bioeconomy,1971
7365001,Bioresource Vision,1972
7367001,Bioresource Vision,1972
7369001,Bioresource Vision,1973
7370001,Bioresource Vision,1973
7372001,Not Bioeconomy,1973
7373001,Not Bioeconomy,1973
7373001,Unsure,1973
7375001,Not Bioeconomy,1974
7375001,Unsure,1974
7376001,Bioresource Vision,1974
7376001,Unsure,1974
7377001,Not Bioeconomy,1974
7377001,Unsure,1974
7378001,Not Bioeconomy,1974
7380001,Bioresource Vision,1974
7383001,Bioresource Vision,1974
7384001,Bioresource Vision,1975
7384001,Unsure,1975
7385001,Not Bioeconomy,1975
7386001,Not Bioeconomy,1975
7390001,Bioresource Vision,1975
7392001,Not Bioeconomy,1973
7392001,Unsure,1973
7395001,Bioresource Vision,1975
7396001,Not Bioeconomy,1975
7397001,Bioresource Vision,1975
7401001,Bioecology Vision,1976
7401001,Bioresource Vision,1976
7401001,Unsure,1976
7402001,Bioresource Vision,1976
7402001,Not Bioeconomy,1976
7402001,Unsure,1976
7405001,Not Bioeconomy,1976
7406001,Bioresource Vision,1976
7406001,Not Bioeconomy,1976
7406001,Unsure,1976
7407001,Bioresource Vision,1975
7408001,Bioresource Vision,1976
7410001,Not Bioeconomy,1977
7412001,Not Bioeconomy,1977
7414001,Bioresource Vision,1977
7416001,Not Bioeconomy,1977
7417001,Bioresource Vision,1977
7418001,Not Bioeconomy,1977
7423001,Bioresource Vision,1978
7424001,Bioresource Vision,1978
7425001,Bioecology Vision,1978
7425001,Bioresource Vision,1978
7425001,Unsure,1978
7426001,Not Bioeconomy,1978
7427001,Not Bioeconomy,1978
7432001,Bioresource Vision,1979
7433001,Not Bioeconomy,1979
7435001,Bioresource Vision,1977
7436001,Bioresource Vision,1979
7438001,Not Bioeconomy,1979
7440001,Bioecology Vision,1979
7442001,Bioecology Vision,1980
7442001,Bioresource Vision,1980
7442001,Unsure,1980
7443001,Bioresource Vision,1980
7456001,Bioresource Vision,1982
