sinno_id,name,description,info,year,use_sector,bioeconomy_vision,innovation_type,article_checked,notes,
5994001,Glacier,"Papper med högre ytvikt och hög styvhet, styrka och opacitet. Tillverkat med två olika sidor, bestående av två till sex ihop- limmade ark.",,2004,22,9,9,1,,
5999001,2 Stand,Point of purchase-display framtagen helt i wellpapp. Displayen bestå av två delar som är lätta att sätta ihop.,,2006,74409,2;0,9,1,,
6001001,Oppboga Protect,Ny flamhärdig kartong,,2007,22222,2,207,1,,
6002001,EHC,"Elektrohydrauliskt styrsystem. Används för att styra hydrauliska riktningsventiler inom områdena kranar, skogs- och entreprenadmaskiner. Med systemet elimineras många av de brister som de rend hydrauliska systemen har. Prestationshöjning på 40 % har noterats. Det som väsentligt bidragit till att systemet har kunnat utvecklas är de unom Saab-Scania framtagna nya styrventlierna och manöverdonen. ",,1973,341,9,"213,501",1,,
6031001,PM 5,"Kombinerad säck-pappers- och kartongmaskin, en rullmaskin och sex blandningspumpar. Den mekaniska och elektriska konstruktionen innehåller betydelsefulla nyheter. Maskinen kombineras med en fläkttork, så att pappersbanan torkas både i denna och i ett konventionellt torkparti med torkcylindrar. Reglersystemet utnyttjar en nya, av Asea patenterad etod för digital varvtalsmätning, som möjliggör snabb och noggrann varvtalsreglering. ",,1975,211,0,0,1,,
6033001,PAS-O-MATIC,"Servostyrt pneumatiskt ställdonssystem som utför exakt kontrollerad vridning. Kan arbeta såväl med fjärrstyrning som centralstyrning och automatiskt. Alla automatiska reglerkretsar, tvåstegs, flytande, proportionella, integrerade, deriverande eller kombinationer är alla beroende av att reglersignalen åtlyds snabbt med bestämd effekt och just så länge som den utsänds till servomotorn. I detta avseende är PAS-O-MATIC unik bland pneumatiska ställdon. Inställaren reglerar lifttillförseln proportionellt mot felet. ",,1975,21,9,"601,602",1,,
6038001,,Hörselskydd med inbyggd radio. ,,1976,-101,,,2,image 404,
6041001,,"Bandspänningsmätare med PRESDUKTOR-kraftgivare som ger möjlighet till direkt reglering av bandspänningen. I t.ex. en omrullningsmaskin för papper är detta en stor fördel, eftersom inverkan av tröghetsmoment och mekaniska förluster i ledvalsar och avrullningsställ bortfaller. ",,1976,21,9,9,1,,
6044001,Loadmaster G70,Lastfördelningsinstrument; stabilitetsräknare baserad på en mirkodator. Stora ansträngningar har gjorts för att få det nya instrumentet lätthanterligt och snabbt. Kommer också att marknadsföras till betydligt lägre pris än andra liknande system.,,1978,201,9,9,1,,
6051001,Popeye,"Världens största luftdrivna vinsch. En av de tekniska finesserna är den automatiska bromsen, som är av mekanisk typ med torsionsstan. Den träder också automatiskt i funktion om tryckluften faller bort. ",,1976,61,9,9,1,,
6060001,SB Målningsautomat,Målningsautomat. Maskinen behandlar sågat eller hyvlat trä oberoende av tvärsnittytans form. Träet matas in med reglerbar hastighet upp till 60 löpmeter per minut. Innan trädetaljerna kommer in i maskinen avlägsnas sågspån etc. med två roterande borstar. Automaten kapar kostnader och är skonsam ur arbetsmiljösynpunkt. ,,1977,454,2,9,1,,
6081001,,Maskin för automatisk sortering och fräsning av träskobottnar. ,,1978,193,9,9,1,,
6099001,QGLK 100,"Längd- och hastighetsmätare som känner av objekt utan beröring. Den kallas även korrelationsgivare, eftersom mätprincipen bygger på jämförelse. Längd- och hastighetsmätning av t.ex. pappersbanor eller varmvalsat material har hittills skett genom indirekt mätning, t.ex. geonom fotocellstyrda kontrollsträckor eller mätning av valshastigheten. Sådana metoder har inte gett önskat noggrannhet. ",,1979,-100,9,602,1,,
6110001,,Teknik för ångtorkning av pappersmassa. Tekniken kan minska nettoförbrukningen av värme med 75 % och produktionskonstnaden för salumassa med 50 kronor per ton.,,1980,211,0,"110,203",1,,
