sinno_id,Innovation name in Swedish,Description in Swedish,Additional Info
7421001,ÖSA 655,"Markberedningsaggregat som ska anslutas till ÖSA:s skotare 260. Denna skotare är utrustad med en hydrostatisk växellåda. Genom att skotaren automatiskt avpassar kraftuttaget vid varierande belastning, ökas möjligheterna att hålla en jämn hastighet vid gång i terräng. Aggregatet består av två hydrauliskt arbetande pendelarmar, som är fästade i dragarens bakända. Varje pendelarm är försett med tre stycken ledade markberedningsbillar, som var och en separat ger efter för överbelastningar utan att de två övriga påverkas. 655 är ett fläckmarkberedningsaggregat. Föraren kan från förarhytten reglera fläcklängd, avstånd mellan fläckarna samt belastning på markberedningsorganen. ",Automatiserar arbete.
7426001,,Bärgningsdrag av härdad polyester klätt med polyesterväv och med läderklädda dragöglor och en skjutbar läderskoning på mitten. Den senare för att kunna koppla V-drag med fördubblad dragkraft. ,"Drar bättre, skyddar bättre.Utvecklad på uppdrag."
7428001,,"Mikrodatorstyrt apteringssystem för användning i de egna processorerna och skördarna. Genom mikrodatorn kommer 19 olika funktioner att styras, bl a matning av trädet fram och back, automatisk backning vid fastkörning, kapning och toppklippning., sortering av masasved repspektive timmer samt räkning av antalet timmer- och massavedsbitar samt antal bearbetade träd. Föraren får också via mikrodatorn information om var kapsvärdet och toppklippen befinner sig, sorteringsbordets läge samt om sotkcens minidiameter underskrids. ",Utvecklat för att sitta i de egna maskinerna.
7429001,,Barkningsmaskin. Maskinen består av två tråg som rymmer vardera 17 kubikmeter. När ett av trågen fylls börjar fyra skruvar att rotera. De är gängade åt var sitt håll och i och med att de snurrar går hela massan runt. ,Sparar arbetskraft och tid.
7437001,,Hjälpmedel för påläggning av kätting på timmerbuntar. Tidigare kastade man kättingarna runt lassen och det är den metod som i de flesta fall tillämpas på de ställen där man buntar timmer som man tar från en landsortering. Att kasta kätting är ett tungt arbete. Med den nya metoden fästes kättingarna med ett enkelt handgrepp i griporgan som sitter på fällbara bommar. När dessa sedan körts till sitt övre läge är det klart för timmertrucken att köra in mot de hängande kättingarna som faller ned runt bunten när griporganen utlöses med en knapptryckning. Sedan återstår endast att koppla kättinglåsen. ,Arbetsskador vid manuell hantering av kättingar.
7440001,,"Trämelass. Trämelassen består av de mest lättlösliga substanserna i vedråvaran för skivframställning, vilka går i lösning i tillverkningsprocessen och inblandas i processvattnet. Sedan mitten av 1960-talet återvinnes substanserna, koncentreras och torkas samt ges en viss efterbehandling som gör dem lämpliga som bl a kreatursfoder. Produkten är alltså dels rent kreatursfoder och dels en ingående ingredients i kreatursfoder.",
7441001,,Maskinsystem för småskalig avverkning av energiskog (ESO).,Utvecklat på uppdrag
7446001,,Maskinsystem för storskalig avverkning av energiskog (ESO) i företrädesvis våtmark. I systemet ingår både skördare och buntare. ,Utvecklat på uppdrag
7447001,Skogsjan,Gripprocessor. ,
7448001,Aktiv Skotten 758,Skogsmaskin med ovan nämnda gripprocessor. ,
7452001,,Markberedare med grävarm som effektivt gör rent beredningsytan från hinder. Innovationen är egentligen monteringen av en grävarm på en redan existerande beredare. En liten skopa sitter på en utskjutbar arm. Den har en räckvidd på åtta meter i en halvcirkel. Markberedaren gör sig bäst i de ritkigt oländiga terrängerna. ,Röjer oländig terräng.
7453001,Skogis,"Gallringsskotare. Skotaren väger endast 500 kg, är banddriven och hydrauliskt midjestyrd, vilket gör den smidig och framkomlig även i tät skog. Skotaren påminner väldigt mycket om en skoter till utformningen. ",Lätt.
7456001,Autopos,"Datorstyrd kantautomat där brädämnena mäts uppifrån med modulerat infrarött ljus, på en längsgående transportör. På grundval av mätdata och data i kundtabellerna väljs bästa breddinställning i efterföljande kantverk. Kantautomaten kompletterar det tidigare kantautomatprogrammet ""Edgar"" och ""opti Edgar"". ",Effektivitet (i tidig gallring); lönsamhet för användaren; enkelhet
7461001,Paraweb Black Belt,Band för surrning av sågat och hyvlat virke på järnvägsvagn. Bandet är av polyester och är belagt med polyetenplast. Minimerar nötningsskador på virket samt är beständigt oavsett om det är varmt eller kallt. Surrningstiden för en vagn minskas till hälften. ,"Beständiga, minskar skador på virket, snabbsurrade."
7466001,DOS-300,"Kapsåg som med sin kombination av snabbhet och precision minskar virkesåtgången i företagets träindustri  med ca 7 procent. Kapen är styrd av fem datorer. Maskinen räknar snabbt och med stor precision ut exakt hur bra eller dålig en sändning med virke är. Den mäter, sorterar, kapar och transporterar virket. ","Utvecklat för egna behov, sedemera såld."
